,Name,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS,Value,college,birthday,height,weight,position,class,nba_comp,pic,Glitch,strength,weakness
24,Keldon Johnson,2.26,1.04,0.44,0.17,5.83,11.93,Kentucky,10/11/1999,6-6,215,SG,Freshman,Corey Maggette,www.nbadraft.net/files/players/kelden-johnson-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg25.jpg?v=1560838180394,"Athletic wing who plays with a lot of heart and determination ... Has an explosive first step that he uses to get by defenders to the rim ... He’s great at finishing around the basket ... He’s a good three-point shooter ... He shot 38% from behind the arc this season on just over three attempts per game ... He’s a great athlete with strong arms which will make a coveted player at the next level ... He has great leaping ability which will make him fun to watch in transition ... He has a solid floater that he uses to score over bigger defenders ... His body is NBA ready for a shooting guard… At 6’6 211, he will come into the NBA ready to defend either guard position ... He has a lot of potential on the defensive side of the ball ... He has good balance and length that can give any opponents problems trying to score on him ... He has the strength and the will to fight through screens ... He’s a solid scorer off the dribble ... When a smaller player is on him, he can post them up ... He’s a good rebounder at his position, averaging nearly six rebounds per game ... He has a good motor ... He’s a well-rounded player who’s adept at a lot of things…. Willing to do the dirty work on both ends of the floor ... He knows how to find the open spots on the floor off the ball…. He is also good at finding open shooters on the perimeter ... He doesn’t need the ball in his hands to be a threat on the offensive end of the floor…… Has shown the desire to guard his man the full length of the court ... His defensive impact doesn’t show up on the stat sheet ... A winner. A natural leader with very good intangibles ...","He will need to improve on his free throw shooting at the next level ... He shot 70%, which is low for a guard ... He is reluctant to shoot three pointers at times and takes the offense out of its rhythm ... He is an inconsistent 3-point shooter ... At times his athleticism can cause him to get out of control going to the rim and miss layups ... Deflections are nice and takes opposing offenses out of rhythm, but he needs to use his athleticism to generate more turnovers for his team…. He averaged less than one steal and block per game ... He needs to improve his catch and shoot game, as well as his shooting coming off the pick and roll ... He can be over-aggressive at times and pick up unnecessary fouls at times … He is good at a lot of things, but not great at any one skill ... Needs to improve his playmaking ability… He averaged as many assists as he did turnovers ... He is great at straight line drives, but when going east to west he lacks creativity when getting past opponents and finishing at the rim…. He needs to work on his footwork when sizing up his opponents ... His shooting motion is slow in catch and shoot situations, which leads to defenders being able to contest his shots on closeouts ... He over-penetrates at times instead of shooting the open shots that present themselves ..."
25,Kevin PorterJr,1.85,1.06,0.48,0.27,4.73,10.78,USC,5/4/2000,6-5,215,SG,Freshman,Deshawn Stevenson,www.nbadraft.net/files/players/kevin-porter-hd_0.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg26.jpg?v=1560838180272,"2-guard who started the season out extremly strong and is a talented player when focused and motivated ... Pretty strong and has a good body for an NBA wing (6’6”, 218 pounds) that has yet to turn 19 ... Strong Isolation player with a number of ways to score ... Idolizes James Harden and has polished a few of his moves ... Has the ability to nail step-back jumpers ... Handles the ball well with combo guard potential ... Has potential to be a good shooter (41.2% from 3-point range) ... Can push it in transition as he has good speed ... Has NBA level athleticism ... Very quick ... Can jump really high and explode to the rim ... Does a good job finishing around the rim ... Really good slasher ... Has a good nose for the ball ... He’s willing to crash the glass (7.2 rebounds per 40 minutes) ... Good at scoring off tip ins and put backs ... Aggressive ... Plays to the whistle. Pretty alert defender ... Has the tools to be a good NBA defender ... Has the ability to force turnovers and go coast-to-coast for the slam (1.5 steals per 40 minutes) ... Has a great deal of potential if he gets into the right situation and dedicates himself to becoming a focused professional ... Plays with a swagger ... ","Needs to improve his shot selection ... Doesn’t always make the right play ... Decision making as a whole needs to improve ... Has a tendency to get out of control (1.4 assists & 1.9 turnovers per game) ... Foul shooting needs to improve (52.2%). Would benefit from another year in school to polish his game and become a impact performer throughout the season ... Didn’t get a ton of minutes his freshman year (22.1) so his sample size is a bit small ... Talking to NBA scouts regarding Porter, there are a lot of off court concerns surrounding maturity and decision making ... Has had a number of well documaneted incidents including a run in with Coach Andy Enfield, and it's safe to say that Porter doesn't have the best reputation for being a mature, team focused guy ... Lacks discipline, focus, structure ... "
26,Kris Wilkes,1.34,0.3,0.22,0.11,3.41,6.46,UCLA,9/18/1998,6-7,210,SF,Sophomore,Joe Ingles,www.nbadraft.net/files/players/kris-wilkes-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg27.jpg?v=1560838179741,"Wing with impressive size, athleticism and skill level ... Smart, mature decision maker ... Alert on defense ... Does a good job fighting through screens to stay in front of his man ... Does a good job using his length on defense to disrupt passing lanes and obstructing his opponent’s view ... Very quick for his size, should be able to guard NBA small forwards ... Does a good job defending in transition and not allowing easy baskets ... Has gotten better and more aggressive attacking the basket off the bounce ... Possesses good burst to the rim ... Finishes strong and is able to beat opponents off the dribble ... Scores really well around the rim ... Handles the ball well for a forward ... Pretty aggressive but also in control ... Confident stroke from deep ... Moves well without the ball ... Has the quickness to free himself for open shots ... Team mentality. Not a selfish player ... Focused player, who shows a willingness to work and improve ... Very willing passer and eager to make the right basketball play ... Very athletic run/jump[ athlete ... Runs the floor well in transition ... Can throw it down with ease ... Put a lot of work into getting stronger over the offseason, and the results are apparent as he looks a lot stronger than he did as a freshman .... Passes the eye test and looks like an NBA player from a physical standpoint ... Good size at 6'7 with a near 7' wingspan ... ","To make the jump to an elite level player, he will need to improve his consistency as a shooter and scorer ... While he has a confident stroke, his percentages could improve (35.2% from 3-point range and 65.5% from the foul line) ... More reps and an ability to slow things down a bit should help improve those percentages ... His aggression is a good thing but sometimes he needs to slow it down and not force things. Has the tendency to get called for charges ..."
27,Louis King,1.34,0.37,0.29,0.07,3.49,6.74,Oregon,4/6/1999,6-8,195,SF,Freshman,Patrick McCaw,www.nbadraft.net/files/players/louis-king-hd_0.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg28.jpg?v=1560838179517,"He is an explosive athlete with NBA run/jump ability ... He is great at running the floor in transition and can soar for alley oops and highlight dunks ... Long and fluid ... He possesses great body control and the ability to finish through contact ... With his great athleticism, he has the potential to be a force on both ends of the floor ... He has shown a variety of ways to score ... He is a good three-point shooter, he shot 39% from behind the arc ... He has developed confidence and consistency with his jump shot ... He has great form on his free throw shot, he shot over 78% from the line ... He has shown step backs and fade-away jumpers ... In the paint, he has shown great floaters and athletic finishes ... He is great at scoring off the dribble and has shown the ability to create space with a little above handle for his size ... He’s always ready for catch and shoot situations and has shown understanding of spacing on the perimeter ... With his scoring polish and athleticism, it should allow him to find success at the next level before too long ... Should be productive facing different types of defenders ... He’s a solid defender, he has the build to guard multiple positions ... He communicates with his teammates calling out screens and switches ... His length and quickness help him to close out and contest shot attempts ... He also has the tools to play the passing lanes and be a ball hawk ...","Even though his consistency has improved, he needs to continue to develop his three-point shot ... At the next level, the consistency will open more scoring opportunities as well as spacing for his team ... He needs to develop his post moves so that he can take advantage of mismatches on smaller or weaker defenders ... He relies on his athleticism too much at times by over penetrating ... He needs to learn when he should pull up for a mid-range jump shot or get rid of the ball ... He needs to improve his shot selection ... For someone with his build, he is an average rebounder ... He only managed to pull down 5.5 rebounds this past season ... He will need to put on more muscle on his body so that he can bang down low at the next level ... He can get loose with the basketball at times which leads to turnovers ... At the next level that will need to a lot of transition points for the opposing team ... Needs to become more physical ... He doesn’t draw enough free throw attempts ... Off court concerns related to maturity and attitude ... Will need to do well in interview and background process to convince teams that he's worth the risk as a first rounder ... "
28,Luguentz Dort,1.04,0.94,0.46,0.05,3.93,8.14,Arizona State,4/19/1999,6-4,220,SG,Freshman,Rawle Alkins,www.nbadraft.net/files/players/luguentz-dort-hd1.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg29.jpg?v=1560838179922,"Aggressive combo guard with above average defensive ability and physicality ... 6’3.5 explosive guard, with good length: 6’8 wingspan and 8’5 standing reach … An explosive and fast run jump athlete with a great physique ... Body is that of an NFL safety ... Very good length to make up for lack of ideal shooting guard height ... Very strong and powerful build, generally the strongest player on the floor ... Above average defender who fights hard to deny his man open looks and driving lanes ... Shows defensive versatility to defend multiple positions and moves very well laterally ... Good anticipation to deflect passes and jump passing lanes ... Fearless player who never backs down from a situation or opponent ... Explosive athleticism ... Jumps off the ground quickly and uses it well in games, including an impressive second jump ... Knows how to use his athleticism in the half court ... Quick first step and change of directions … Can penetrate off the dribble ... Fearless and aggressive driver with good body control ... Embraces contact and does a good job of getting to the line ... Good motor, effort, and activity level … Seems to elevate his play in big games, and never shies away from the limelight ... Confident to a fault. He really believes in himself. Which can carry him a long ways ... Rebounds well for position … ","Shoots a bit of a moon ball and lacks great rotation and form on his shot ... Still has a lot of work in front of him to become a solid perimeter shooter at in game speed ... A bit of a straight line driver ... Has improved in his perimeter shooting, but it’s been a major weakness and he has much room to get better ... Too often resorts to bully ball ... While his strength is overwhelming at the college level, he wont be able to dominate opponents physically at the next level ... Still improving guard skills and technique ... He’s relied on physical ability quite a bit thus far, which allowed him to play any position, settling in as a guard and reading the game as a full-time perimeter player will be important, as well as polishing his ball skills. He can also improve as a playmaker as he hasn’t shown to be an advanced distributor. Doesn’t have much creativity in his game or really pick his spots. Sometimes he attacks without a plan and forces himself to the basket. Older for his class, turned 19 in April of his senior year of high school … Assist to turnover ratio has been an area of concern since high school ... Shot 30% from 3 on a very high volume (1.6-5.2 per game), after a hot start, shot far too many three pointers considering his lack of efficiency, (54-176) on the season ... Lacks vision and passing skills ... Has spent some time at the point guard position and while his fearlessness and aggressiveness has carried him, he lacks innate skills to run a team and be a true point at the next level ... A/to ratio has been negative since high school and was 2.3 to 2.9 at Arizona State ... "
29,Matisse Thybulle,1.89,1.39,0.98,0.45,4.87,13.5,Washington,3/4/1997,6-6,200,SG,Senior,N/A,www.nbadraft.net/files/players/MThybulle.gif,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg30.gif?v=1560838179858,"Thybulle’s strengths don’t end with his defense, but they sure as heck start there. He earned Pac-12 Defensive Player of the Year in back-to-back seasons and was the 2018-19 NCAA DPOY. He earned the honors this season with a mind-boggling defensive stat line of 3.5 steals and 2.3 blocks per game. PER GAME. Of players who played more than one game in a season since 1992-93 only two players have exceeded the three-steal/two-block per game mark according to Basketball Reference (the other is Zakee Wadood). While the 6-foot-5 frame doesn’t appear great at first for a guy who will be asked to be highly versatile defender and wing, Thybulle does have a reported 7-foot wingspan and 41-inch vertical to his name. These should allow him to avoid issues at the NBA level.","One major concern with Thybulle’s defense is that he played in a zone the two seasons where he won all of his awards. This isn’t a deal-breaker since you don’t do what he did even if your coach draws up a perfect zone scheme, but it’s a real concern. Going back to offense is where the vast majority of weaknesses pop up. Thybulle is a near non-factor as a passer (he basically has a career 1/1 AST/TOV ratio), is not a threat in isolation and his shooting stats are, well...interesting in places. His career percentage from deep is a respectable 35.8 that includes three seasons above 36 percent and a sophomore campaign that saw him exceed 40. Then this last year is plummeted to 30.5 with his overall percentage similarly tanking to 41.5. His free throw marks also did a near perfect alternation year-to-year from 71 percent to around 85."
30,Mfiondu Kabengele,3.91,0.78,0.5,0.55,7.77,16.77,Florida State,8/14/1997,6-10,255,PF,Sophomore,Vin Baker,www.nbadraft.net/files/players/mfiondu-kabengele-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg31.jpg?v=1560838179606,"At 6’10’’, 250 pounds, he possesses a body that NBA teams covet … Led the Seminoles in scoring (13.2 ppg) this past season despite coming off the bench and playing just 21.6 minutes per game … Takes advantage of his limited playing time and dominates both ends of the floor … Extremely long with a 7'3 wingspan ... Crashes the offensive glass (2.1 offensive rebounds per game) … Is a factor as a shotblocker, evidenced by his 56 total blocks on the year … Dominates the rim against smaller frontlines … Versatile offensive player ... Shoots well from three-point range (37%) for a player of his size … 76% FT shooter reinforces the idea that he can become a solid outside shooter at the next level ... Finishes well in the paint and sticks with guards on the perimeter defensively … Climbed up the draft boards after averaging 21.5 points, 8.5 rebounds and 2.0 blocks in Florida State’s first two NCAA tournament games against Vermont and Murray State, shooting 64% from the field … Was a defensive menace in the ACC tournament, recording 2.7 blocks per game against Virginia Tech, Virginia and Duke ...","Lacks in many aspects of decision making, specifically as a passer… Averaged just 0.3 assists per game on the season … Not incredibly quick ... Moves a bit gingerly and wears big knee pads which give the appearance that his knees are not extremely strong ... Has to improve his ball-handling skills … Is very foul prone, fouling nearly three times per game in limited playing time … Developing the ability to consistently knock down jump shots is one of the main areas he needs to improve in … Is a redshirt sophomore and already the age of a junior ... "
31,Miye Oni,0.99,0.8,0.22,0.21,3,6.68,Yale,8/4/1997,6-5,205,SG,Junior,Kirk Snyder,www.nbadraft.net/files/players/miye-oni-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg32.jpg?v=1560838179839,"Has good size for an NBA wing (6’6”, 210 pounds) and has solid quickness as well ... He passes the eye test ... Pretty explosive to the rim ... Able to finish through contact and make tough shots inside ... Finishes well with both hands ... Shoots with his right hand, but can go left ... Handles the ball well with a nice crossover dribble ... Capable of bringing the ball up the floor ... Does a good job of moving without the ball ... Does a solid job of staying in front of his man and hedging screens ... Recovers well ... Pretty versatile defender, able to guard positions 1-3 ... Alert on both ends of the floor ... Unselfish ... Eager to make the right basketball play (e.g. Drive & kick) ... Has good court vision ... Smart player ... Potential to be a player that contributes in multiple ways (had 12 points, 9 rebounds, & 5 assists against Duke) ... Does a good job of getting to the line (79.5% on 5.6 attempts) ... Pretty fluid shooting motion ... Shows the motivation to improve his game (12.9 points per game as a freshman; 17.9 points per game as a junior) ... Overall a pretty polished player. Not considered a project ... Should be able to contribute to some extent at the next level right away ... Team concept ... ","Will be 22 in August, so lacks the upside of many of the other draft prospects ... Needs to improve his ball security (3.1 assists & 4.0 turnovers per game) ... Sometimes makes careless passes ... At times can be a bit too unselfish when his team needs him to attack more (10 pts in the first half against Duke; 2 pts in the second half) ... Has the ability to go off (29 pts at Miami) ... It would be nice to see him do that with a bit more regularity ... Needs to improve his ability to finish over length ... Could do a better job of defending without fouling (2.9 fouls per game) ... Struggled mightily in Yale's biggest game of the season shooting a dreadful 2-16 for five points in the NCAA tournament versus LSU ... So there will be some that question his ability to step up to the limelight and perform well in big games ... "
32,Nassir Little,3.53,1.14,0.52,0.33,8.23,16.73,North Carolina,2/11/2000,6-6,225,SF,Freshman,Gerald Wallace,www.nbadraft.net/files/players/nassir-little-hd_0.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg33.jpg?v=1560838180250,"6’6 220 lb. two-way, athletic forward … Explosive finisher with a quick first step … Excellent size/length with a 7’1 wingspan and and a 8’9 standing reach … High-energy finisher … Active perimeter defender and plays the passing lanes… Solid frame. Not afraid to absorb contact and get to the free throw line … Finishes well and powers through contact extremely well ... Dynamic slasher who creates a lot of baskets through aggresiveness … Athletic rebounder, not afraid to bang down low with bigger, stronger players … Can use his size and athleticism to his advantage … Prideful defender who will take on the toughest defensive assignment … Recognizes and takes advantage of mismatches … Finishes at the rim with both hands … Unselfish passer … Quick feet, with the ability to defend … Exceptional offensive rebounder who follows shots and excels in crashing the boards … Has good hands, able to catch tough passes and grab rebounds outside his immediate area ... Good speed in the open court and difficult to defend on the fast break without fouling .... Shows solid defensive anticipation ... Free throw percentage (77.8%) gives optimism about his ability to become a better mid range and outside shooter ... Plays with a steady motor ... Form on his shot shows solid mechanics, but still needs to work on connecting more consistently and shooting in rhythm ... Was productive when given opportunities, considering he only played 18 minutes per game ... ","Struggled with consistency as a freshman ... Doesn't exhibit the instincts of a natural scorer ... Has yet to develop any real ability to create offense off the dribble or as a shooter ... Basketball IQ and feel for the game don't always appear to be top notch ... Not the most fluid of athletes, somewhat rigid body and offensive moves can appear predetermined ... Only shot 28 percent from 3-point range in the regular season of his freshman year … At times can be too dependent upon his physical gifts ... Merely outclassing opponents physically won't be succesful at the next level ... Still has room to improve with shot selection and can continue to develop a more well-rounded mid-range game … Can improve in pick and roll game, has the potential to be either the playmaker or cutter in a pick and roll situation … Should look to improve upon limiting turnovers … Good spacer of the floor but can still improve in moving without the basketball …"
33,Naz Reid,2.51,0.48,0.38,0.29,5.33,11.07,LSU,8/26/1999,6-10,255,C,Freshman,Anthony Mason,www.nbadraft.net/files/players/nas-reid-hd_0.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg34.jpg?v=1560838180292,"Reid is a versatile big showing the size to play inside and the skill to hit shots on the outside ... Light on his feet and crafty, Reid is an efficient scorer and has shown his shooting touch can make him into an effective player on the perimeter ... Has good length with a 7'1 wingspan ... Shooting 33.3% from 3 in his freshman season, Reid is a capable shot maker and owns a polished post-game ... He has some intriguing potential as a stretch forward for the next level with his size at 6-10, 240 lbs ... One of the most intriguing parts of his game is his ball handling ... A very good ball handler and passer for a player his size ... He is capable of putting the ball down skillfully when he attacks the basket ... His ball handling combined with his size and strength allows him to create the space he needs to score ... As an improved ball-handler, he has become a lot craftier as he continues to progress as an offensive player ... He’s definitely got the frame to play in the NBA right now ... His frame gives him the opportunity to become a dominant and sneaky offensive rebounder with timing and innate abilities ... Reid has also slimmed down considerably since his senior season of high school, which has made him lighter on his feet in better shape ... Reid has the potential to become a scoring option on an NBA team and if he continues to develop his playmaking ability he can become an intriguing player at the next level ... ","Lost a lot of weight upon arriving at LSU and it appeared to take him some time to adjust to his new body ... Looked off balance and lacked great fluidity in his movements ... His motor can be a blessing and a curse ... Sometimes his emotions can get the best of him and can slow down his game ... Appears to have a high center of gravity which makes changing speeds difficult ... Lacks ideal size for a center ... His lack of lateral quickness and his average explosiveness will be a disadvantage for him at the next level ... He can sometimes play out of control when he is not able to dribble around or overpower his opponent and try to make something out of nothing and turning over the ball ... He is a bit turnover prone, averaging 0.9 assists and 2.5 turnovers per game at LSU ... Not a shot blocker and his defensive impact will be limited at the next level ... Reid also struggles to draw fouls at times and not get to the free throw line as often as he should (3.8 FTA per game) ... Reid can play on a selfish level at times offensively, with his biggest flaw being his lack of an attempt to involve his teammates more throughout the game. His shot selection was a bit questionable ... Plays too much like a guard, and should look to further develop back to the basket skills ... Should look to use his strength better ... Lacks an alpha personality ... "
34,Nickeil Alexander-Walker,2.32,1.93,0.68,0.26,7.23,15.74,Virginia Tech,9/2/1998,6-5,205,SG,Sophomore,Spencer Dinwiddie,www.nbadraft.net/files/players/nickeil-alexander-walker-hd_0.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg35.jpg?v=1560838179995,"Offensively versatile 6’5’’, 205-pound guard … Is a sniper from long range and shoots with an excellent form and quick release … Has great awareness and a high basketball IQ … Cerebral approach ... Very good attention to detail and desire to improve ... A great decision-maker in transition … Can play PG within the rotation and is comfortable at either guard position ... Understands when to take it to the rim, pull-up for a jumper, or pass the ball to an open teammate … Shifty. Gets by opponents using fakes, despite lacking an explosive first step ... Moves without the ball. Gets open off of screens … Uses his ambidexterity to shift directions and attack the rim going left or right … Solid defensive instincts, evidenced by his 1.9 steals per game as a sophomore at Virginia Tech … Has the ability to play off of pick and roll and knock down spot-up jumpers … Averaged a fair amount of assists per game (4.0), which is very impressive for being the second ball-handling option behind Justin Robinson … Led the Hokies in scoring (16.2 ppg) this past season … ","Has wide shoulders, but a very slender frame … Doesn't always exhibit an alpha dog personality ... Lacks physicality ... Overall strength needs to improve in order to get shots off against bigger, tougher defenders in the NBA … Lacks an explosive first step off the dribble and struggles to score in traffic ... Must improve his ability to play through contact on both ends of the court … Does not get to the free throw line at a high rate… Not an elite athlete … A bit careless with the ball, averaged 2.9 turnovers per game this season … Plays a little upright and rigid. Lacks fluidity to an extent in his movement ... Struggled to perform in Virginia Tech's two biggest games of the season, shooting 30% and 25% from the floor against Liberty and Duke respectively ... Could work on being a more vocal leader ... "
35,Nicolas Claxton,3.48,0.66,0.46,0.68,5.24,13.83,Georgia,4/17/1999,6-11,215,PF,Sophomore,Taj Gibson,www.nbadraft.net/files/players/nicolas-claxton-hd_0.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg36.jpg?v=1560838179446,"Claxton is a long, fluid, wiry athletic four with a good deal of upside left to develop ... He shows nice skills on the perimeter with some ability to handle and pass ... Potentially making him very valuable in today's NBA is his ability to guard multiple positions ... He has quick feet which allows him to defend guards on the perimeter, giving him coveted pick and roll defensive ability ... He has tremendous length, a 9'2 standing reach, which allows him to recover if he gets beat by his man ... His long wingspan and vertical allows him to protect the rim ... He’s a strong player in transition ... His speed and ball handling ability allow him to be effective on the fast break ... He has solid vision which allows him to make passes in the half court as well as the fast break ... He is a decent scorer in the low post ... He’s good at drawing fouls ... He hits the boards hard as evidenced by his almost 9 rebounds per game this season ... Has NBA bloodlines, as his father played in the NBA for Boston ... Has shown an improved jumpshot since the season ended, impressing in workouts ... ",He has a thin frame and needs to put on more weight to avoid being bullied in the paint at the next level ... Added strength will allow him to fight in the post for position on the block as well as be a stronger rebounder ... He doesn’t have a real offensive identity right now ... Not a big scorer or very skilled offensively at this point ... He struggled as a three point shooter last season ... He only hit 28% of his threes ... That might limit his ability to be a stretch big man in today’s game ... He’s only a 64% free throw shooter ... He is an inconsistent jump shooter ... At times he is to passive on the offensive end of the floor ... He should look to attack more often ... 
36,PJ Washington,3.7,1.14,0.56,0.44,6.7,15.86,Kentucky,8/23/1998,6-8,230,PF,Freshman,Carl Landry,www.nbadraft.net/files/players/pj-washington-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg37.jpg?v=1560838179489,"Solidly built and strong power forward who is very skilled offensively in multiple facets ... He is long and has excellent instincts on the offensive end ... Washington has natural strength and the type of body that could withstand the physicality of NBA level play ... He has broad shoulders and a wide base yet still has good agility and is fluid on his feet ... On offense, Washington can do a bit of everything ... He can score in the post, using his strength to bully opponents ... He is particularly adept at getting to his jump hook over his left shoulder, which he makes at a very high rate ... He also has solid leaping ability, allowing him to make plays above the rim ... He also has an advanced mid-range game and is a lights-out shooter from the elbow and all around the key ... His range has also expanded this season, as he shot 42.3% from 3-point range in his sophomore season ... His mechanics are excellent and he has a high release point ... Washington’s passing ability stands out for a power forward and he can initiate the offense from the high post and shows advanced court vision for a big man ... Washington has a mature understanding of the game and shows great polish and refinement for such a young player ... His awareness on the court and his knowledge of the game make him a glue-guy who helps the team win, even when he's not filling up the stat sheet ... His skill and leadership was a big reason for Kentucky’s season that fell just short of the Final Four ... ","Washington does not have prototypical size for the power forward position (at 6'7 and change) in the modern game and is not the elite level athlete that can compensate for it ... He will have to expand his perimeter game and continue to become a more consistent shooter and ball handler ... He can get by with overpowering opponents in the paint in college but won't be able to play that game at the NBA level ... He doesn't project as a low post scorer, as he does not have much of a post game outside of his jump hook ... He also probably won’t be a rim protector at the next level and there are questions about how his game will adjust to NBA length and size ... His lack of ideal size and top end athleticism knock him down a notch in terms of what his upside could be ... Feel for the game has been a bit of a work in progress ..."
37,RJ Barrett,3.83,2.86,0.68,0.24,12.69,24.36,Duke,6/14/2000,6-7,210,SG,Freshman,Danny Granger,www.nbadraft.net/files/players/rj-barrett-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg38.jpg?v=1560838180076,"Lefty 2-guard who plays the game with a lot of determination and energy ... Excellent finishing footwork after gathering dribble with Eurostep and hop step and sidesteps that he uses to weave around defenders ... Much stronger than his frame suggests ... Aggressive, physical, creates contact and draws fouls ... Excellent craftiness as a finisher and finds ways to get defenders off balance ... Great body control in the paint, nice runners and finger rolls in close ... Good with use of pivots, and utilizes fakes effectively ... Has a great first step off the catch and against close outs ... Fast in open court, often beats several guys in transition ... Able to fluidly change direction going full speed ... High basketball IQ, gets to the open spots on the floor, moves well without the ball, runs the lanes in transition, moves into passing angles ... Instinctive scorer who finds gaps as a driver with great pacing, hesitations and moves inside. 6’7 with a strong frame and good length ... Prototypical wing ... Quick twitch ... Changes direction on a dime after picking up dribble ... Plays hard, loves running the court, timing and positioning as a rebounder ... Size and quickness to switch multiple positions defensively ... Moves his feet well as on ball defender, good lateral agility ... Hard to keep up with him in open court already but strength makes it easy to brush off defenders and finish in traffic ... With no pressure on his handle in open court is really fast changing directions ... Improved vision a lot over the past year, good recognition and unselfish ... Doesn’t get out of control ... Decent shooter off the catch when his feet are set ... ","May have peaked to some degree in high school as he was clearly the top kid in his class as a senior in HS ... Outside shot lacks great form and confidence seems to waver ... Good athlete, fast in transition and can explode in space but doesn’t necessarily play above the rim or have great explosiveness in half court situations ... Needs to improve his ball handling to become a more efficient half court player ... Left hand dominant, looks awkward dribbling or finishing with his right ... Almost always ends up going back to his left hand ... Isn’t aggressive off the ball defensively, doesn’t rotate hard ... Could look to take advantage of his physical tools more defensively and create more turnovers ... Poor ball control, handle is high and loose, struggles to make passes off the dribble ... Poor shooter off the dribble and has a relatively slow and inconsistent release ... Needs time to get it off cleanly ... Not accurate with his passes, sloppy ball placement ... Can get too caught up in playing hero ball and get tunnel vision trying to create and not looking for teammates at the end of games ... Fearless approach can end up being overconfidence ... Seems to have an alpha personality, but may need to learn to adjust his game some and defer more at the next level ... Sort of a jack of all trades, master of none type ... "
38,Romeo Langford,2.26,1.18,0.39,0.27,6.37,12.84,Indiana,10/25/1999,6-6,210,SG,Freshman,Evan Turner,www.nbadraft.net/files/players/romeo-langford-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg39.jpg?v=1560838179638,"2-guard with a big high school reputation and a lot of physical tools to work with ... He’s very aggressive going to the rim ... He has the quickness to blow by defenders and size to absorb contact in the paint ... He has a near seven-foot wingspan ... That allows him to get his shot off over taller forwards and centers ... Played some point in high school, and retains some ability as a facilitator ... He has great court awareness when he gets into the lane ... He makes quick decisions to attack once he sees centers are out of the lane ... He knows how to draw fouls at a high rate ... He averaged 6 free throws per game last season ... When he gets into the lane, he’s adept at finding the open man ... He’s great in transition ... When he has the ball, he pushes aggressively ... Without it he’s great at filling the lanes and finishing ... He is a good rebounder for a guard, particularly offesnively ... He grabbed over 5 rebounds per game last season ... Having grabbed 1.4 offensive rebounds per game last season ... He can create extra possessions for his teammates … In the NBA, guards who can generate extra possessions by rebounding are a bonus ... He’s able to take advantage of smaller matchups and post up smaller guards ... He’s a solid defender ... With his physical tools, his potential is excellent ... He’s great at attacking out of the pick roll to get into the lane ... He’s shown nice touch around the rim ... Has a solid ability to shoot off the dribble ... ","Doesn't always look fully engaged in the game and intensity level seems to come and go ... He struggles shooting the three-point shot ... He only hit on 27% of his 3 pointers last year, while taking almost four a game ... Decision making needs work ... He is prone to taking shooting questionable shots at times ... He needs to improve his free throw shooting ... He shot 72% but improving upon it will add to his point totals ... He’s not an explosive athlete ... At times his defensive effort can be lagging ... He can be to ball dominant on offense at times, leading to bad shots ... He can be careless with the ball at times, leading to poor turnovers ... He’s to reliant on his right hand, which will make him easier to defend in the NBA ... He has trouble controlling the game from the half court ... A part of the problem with his three-point shot is that he’s hesitant to take them at times ... He struggles when he is forced to be the primary playmaker ... He needs to improve his overall efficiency as he shot just under 45 percent from the field ... That’s not bad but it could improve ... "
